,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
,"总计","24944","24908","0","0",
1,"A_english_entrance+scroll+_2018/10/28 16:36:40_NaN%_416","3","1","0","0",
2,"ENGLISH+UID：2619735130113459881+http:/english/study/collect_words-e-20215-timeout of 10000ms exceeded","3","1","0","0",
3,"A_english_entrance+scroll+_2018/10/29 0:20:42_NaN%_383","3","1","0","0",
4,"A_english_entrance+scroll+_2018/10/28 16:36:40_NaN%_442","3","1","0","0",
5,"A_english_entrance+scroll+_2018/10/24 0:1:25_NaN%_100","3","1","0","0",
6,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_83","3","1","0","0",
7,"A_english_entrance+scroll+_2018/10/28 16:36:40_NaN%_420","3","1","0","0",
8,"A_english_entrance+scroll+_2018/10/28 0:11:25_NaN%_18","2","1","0","0",
9,"A_english_entrance+scroll+_2018/10/29 0:20:42_NaN%_173","2","1","0","0",
10,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_16","2","1","0","0",
11,"A_english_entrance+scroll+_2018/10/26 0:11:11_NaN%_171","2","1","0","0",
12,"A_english_entrance+scroll+_2018/10/28 0:11:25_NaN%_12","2","1","0","0",
13,"A_english_entrance+scroll+_2018/10/28 0:11:25_NaN%_11","2","1","0","0",
14,"ENGLISH+UID：2619735130103861087+http:/english/user/get_base_user_info-e-935-Network Error","2","2","0","0",
15,"A_english_entrance+scroll+_2018/10/24 0:1:8_NaN%_6","2","1","0","0",
16,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_22","2","1","0","0",
17,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_68","2","1","0","0",
18,"A_english_entrance+scroll+_2018/10/26 0:7:17_NaN%_343","2","1","0","0",
19,"A_english_entrance+scroll+_2018/10/26 0:11:11_NaN%_159","2","1","0","0",
20,"A_english_entrance+scroll+_2018/10/27 0:26:16_NaN%_82","2","1","0","0",
21,"A_english_entrance+scroll+_2018/10/26 0:5:47_NaN%_4","2","1","0","0",
22,"A_english_entrance+scroll+_2018/10/26 0:11:11_NaN%_165","2","1","0","0",
23,"A_english_entrance+scroll+_2018/10/28 16:36:40_NaN%_418","2","1","0","0",
