# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924645224_2019/7/20 20:6:31_1%_5,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_10%_8,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_100%_16,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_101%_16,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_14%_9,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_17%_9,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_2%_5,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_21%_10,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_23%_10,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_28%_10,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_3%_7,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_32%_11,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_37%_11,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_46%_11,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_52%_12,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_58%_12,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_6%_8,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_66%_12,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_72%_13,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_74%_13,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_80%_14,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_83%_14,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_86%_14,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_89%_15,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_93%_15,1,1,0,0.00
2618666497924645224_2019/7/20 20:6:31_95%_15,1,1,0,0.00
2618666497924651483_2019/7/20 20:11:19_-97%_9,1,1,0,0.00
2618666497924651483_2019/7/20 20:11:19_62%_9,1,1,0,0.00
2618666497924651483_2019/7/20 20:11:19_63%_9,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_1%_11,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_100%_51,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_15%_20,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_20%_21,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_22%_22,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_28%_23,1,1,0,0.00
2618666497924651999_2019/7/20 14:29:23_29%_23,1,1,0,0.00
