# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924669322_2019/7/19 20:53:32_1%_10,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_12%_16,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_13%_17,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_15%_18,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_16%_20,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_18%_21,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_2%_10,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_20%_22,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_21%_23,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_23%_24,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_24%_28,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_4%_11,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_6%_12,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_7%_13,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_8%_14,1,1,0,0.00
2618666497924669322_2019/7/19 20:53:32_9%_15,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_-744%_105,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_1%_8,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_10%_17,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_11%_18,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_12%_19,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_13%_20,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_14%_20,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_15%_21,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_16%_22,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_21%_23,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_22%_25,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_24%_26,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_26%_29,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_27%_29,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_28%_30,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_29%_31,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_30%_32,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_31%_34,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_32%_35,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_33%_37,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_34%_40,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_35%_41,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_36%_43,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_37%_46,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_38%_48,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_39%_49,1,1,0,0.00
2619182023906898401_2019/7/20 8:0:6_4%_9,1,1,0,0.00
