# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497924816005_2019/7/17 21:11:56_1%_13,1,1,0,0.00
2618666497924816005_2019/7/17 21:11:56_12%_16,1,1,0,0.00
2618666497924816005_2019/7/17 21:11:56_20%_18,1,1,0,0.00
2618666497924816005_2019/7/17 21:11:56_7%_14,1,1,0,0.00
2618666497924816005_2019/7/17 21:13:20_37%_4,1,1,0,0.00
2618666497924816005_2019/7/17 21:13:20_46%_4,1,1,0,0.00
2618666497924816005_2019/7/17 21:13:20_54%_8,1,1,0,0.00
2618666497924816005_2019/7/17 21:13:20_8%_2,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_100%_82,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_13%_14,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_20%_18,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_21%_19,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_30%_22,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_33%_32,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_38%_41,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_43%_52,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_50%_67,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_55%_70,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_61%_71,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_62%_73,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_77%_76,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_84%_77,1,1,0,0.00
2618666497924973654_2019/7/18 0:49:54_95%_81,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_10%_7,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_15%_7,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_22%_8,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_24%_9,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_25%_9,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_3%_6,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_32%_10,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_38%_12,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_44%_14,1,1,0,0.00
2618666497925049834_2019/7/17 20:2:8_50%_15,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_1%_5,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_100%_68,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_101%_71,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_12%_18,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_13%_19,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_20%_21,1,1,0,0.00
2618666497925051260_2019/7/17 21:32:51_27%_22,1,1,0,0.00
