,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
,"总计","301602","277151","0","0",
1,"vitality_gain_strength_test+scroll+2","41985","38290","0","0",
2,"vitality_gain_strength_test+scroll+1","40391","36680","0","0",
3,"vitality_gain_strength_test+scroll+3","37034","33917","0","0",
4,"chicken_react_vitality_test+click+start_test","32928","31539","0","0",
5,"vitality_gain_strength_test+scroll+5","29798","27414","0","0",
6,"vitality_gain_strength_test+scroll+4","28961","26989","0","0",
7,"vitality_gain_strength_test+scroll+7","24975","22499","0","0",
8,"vitality_gain_strength_test+scroll+6","23297","21881","0","0",
9,"chicken_react_vitality_test_result+click+buy_vip","7602","6240","0","0",
10,"chicken_react_vitality_test_result+click+buy_or_free","3319","3063","0","0",
11,"english_entrance+scroll+1","2294","1845","0","0",
12,"english_entrance+scroll+2","1695","1460","0","0",
13,"english_entrance+scroll+4","1430","1248","0","0",
14,"english_entrance+scroll+3","1395","1245","0","0",
15,"chicken_react_vitality_test_result+click+down_load_app","1354","1143","0","0",
16,"english_entrance+scroll+5","1132","1028","0","0",
17,"english_entrance+scroll+9","991","906","0","0",
18,"english_entrance+scroll+6","988","905","0","0",
19,"chicken_share_book+click+get_btn","957","811","0","0",
20,"english_entrance+scroll+7","943","871","0","0",
21,"chicken_course_sell+click+buy_btn","917","741","0","0",
22,"english_entrance+scroll+8","809","761","0","0",
23,"english_entrance+scroll+10","783","712","0","0",
24,"english_entrance+scroll+12","767","663","0","0",
25,"chicken_react_vitality_daily+click+start_play","707","625","0","0",
26,"english_entrance+scroll+11","618","570","0","0",
27,"vitality_gain_strength_test+pay_success+7","618","618","0","0",
28,"chicken_react_vitality_daily+click+share_poster","604","391","0","0",
29,"vitality_gain_strength_test+pay_success+-","471","471","0","0",
30,"chicken_share_book+click+chicken_share_book_download_app_btn","348","294","0","0",
31,"distribution_activity+click+invite_poster","293","222","0","0",
32,"vitality_gain_strength_test+pay_success+5","168","168","0","0",
33,"english_entrance+pay_success+-","160","160","0","0",
34,"vitality_gain_strength_test+pay_success+3","128","128","0","0",
35,"vitality_gain_strength_test+pay_success+1","119","119","0","0",
36,"vitality_gain_strength_test+pay_success+4","106","106","0","0",
37,"vitality_gain_strength_test+pay_success+2","99","99","0","0",
38,"vitality_gain_strength_test+pay_success+6","81","81","0","0",
39,"A_vitality_test+next_q+-","59","54","0","0",
40,"A_vitality_test+next_q+1","58","51","0","0",
41,"chicken_react_vitality_study+click+add_punch_poster","58","52","0","0",
42,"A_vitality_test+next_q+2","56","48","0","0",
43,"A_vitality_test+next_q+6","52","48","0","0",
44,"A_vitality_test+next_q+5","49","48","0","0",
45,"A_vitality_test+next_q+7","48","48","0","0",
46,"A_vitality_test+next_q+3","48","48","0","0",
47,"A_vitality_test+next_q+4","48","48","0","0",
